accelerometer_X,accelerometer_Y,accelerometer_Z
-6.847417,-16.74026,4.13718
-4.003105000000001,1.249773,10.716447
3.0502130000000003,-11.482592,-4.683058
8.532935,-14.571112,-11.492168
2.1883,-8.987833,-1.273715
1.101333,-3.6487629999999998,0.416591
4.276045,-9.346964,0.502782
-3.77805,-3.605668,2.475605
2.236184,-7.388506,-1.173159
-4.094085,-1.441309,2.13084
2.011129,-12.564771,0.8236049999999999
-0.071826,-13.733141,2.652776
1.996764,-6.062118,-6.210559
3.438074,-7.139508999999999,0.292093
12.650962,1.61848,10.716447
7.402872,-7.771578999999999,-4.127603
2.9209259999999997,-8.571242,-7.881711999999999
2.767697,-8.935161,-2.149993
-1.101333,-13.939042,-0.9481040000000001
1.532289,-6.2153480000000005,-5.928043
2.652776,-5.865794,-3.227384
-0.737414,-3.8690300000000004,-1.4987700000000002
3.6774940000000003,-6.8761470000000005,-2.782062
0.612916,-3.744531,-0.507571
0.052672000000000004,-8.403648,-4.185065
-1.843535,-3.8929720000000003,-1.929727
0.665588,-6.809108999999999,-1.9393029999999998
-2.011129,-4.232949,-0.919373
2.432509,-10.304644999999999,-1.6711529999999999
0.588974,-5.999869,-2.327164
