accelerometer_X,accelerometer_Y,accelerometer_Z
1.7812860000000001,4.970363,-6.153098
-5.114014,3.5960910000000004,0.244209
16.017210000000002,2.2313959999999997,5.621586
16.917427,20.427328,17.51598
-1.288081,11.343728,-1.431733
6.464345,-12.694057,-0.263362
8.628703,13.230357999999999,0.067038
17.587805,30.028078000000004,8.178593
6.703765,-6.698975999999999,-1.862689
19.972431,24.205379999999998,2.863465
1.067814,12.258312,2.9209259999999997
5.7843919999999995,-13.632585,-3.591303
3.438074,15.164873000000002,0.368707
10.773908,25.129541,7.752425
2.7724860000000002,-4.390966000000001,-4.817133999999999
-3.323152,9.23683,7.211336
-2.011129,8.633492,-1.335964
9.160214999999999,-10.443508,-0.737414
-2.628833,13.259089000000001,1.082179
14.944607000000001,26.077644,13.230357999999999
2.7724860000000002,-3.639186,-1.1683700000000001
-5.12838,6.818687,3.6679169999999996
14.489709,17.104177,-5.171476
11.118672,11.511322,4.376601
-6.603208,6.244078,-2.365471
3.96001,20.451271,2.58095
3.8690300000000004,-7.350199000000001,-0.531513
-0.488417,9.088389,2.336741
17.827227,31.038431,10.160992
-0.11971,1.3982139999999998,-3.5529949999999997
