accelerometer_X,accelerometer_Y,accelerometer_Z
-0.306458,-11.765107,-0.761356
-2.202665,-2.9592330000000002,0.684742
-1.6519990000000002,-7.967903,-1.637634
-5.947197,-12.813767,-2.217031
-3.701436,7.8912889999999996,17.808075
-6.320692,-13.517663,-4.122815
-1.613692,9.519346,12.62702
-2.700659,-14.599842,-2.858677
-15.547946,-14.580688,-16.203957
-1.9632450000000001,-6.924030999999999,1.101333
-1.125275,-3.3997660000000005,1.9823990000000002
-5.2241480000000005,-8.192958,-0.081403
-5.343858,-14.714764,6.042965000000001
0.14844100000000002,-11.69807,-4.61602
-7.848192999999999,-11.903971,2.935291
-8.820239,-13.072341,-8.576031
4.716578,-13.934254000000001,-0.335188
-1.340753,-2.03986,1.3886370000000001
-1.565808,-8.738836000000001,-1.8818419999999998
-8.848969,-13.086706,-2.667141
-3.801992,5.899312999999999,13.742718
-7.934384,-16.151285,4.7931919999999995
-8.374918,-14.355634,-6.7516490000000005
-2.073379,-13.388376000000001,-2.54743
-2.284068,-3.639186,-2.082955
-2.284068,-8.010997999999999,-2.116474
-3.663128,-11.659761999999999,-1.685518
-0.9911989999999999,7.785944000000001,15.638926000000001
-2.480393,-14.269442999999999,-0.727837
-6.684611,-8.183380999999999,-10.280702
